stepCount, stepTime,meanA,varA,meanB,varB,meanC,varC,meanD,varD,reaction
39,0.000321151380394465,53.81,967.7939,50.77,802.6971,49.59,847.8019,52.48,800.469599999999,1 
40,0.000292779856157253,53.81,967.7939,50.77,802.6971,49.58,848.383600000001,52.49,801.3899,3 
41,0.000990616928579288,53.8,968.62,50.78,802.5916,49.58,848.383600000001,52.49,801.3899,1 
42,0.000112937792823964,53.8,968.62,50.78,802.5916,49.57,848.2851,52.5,801.43,3 
43,4.2050353090449E-05,53.8,968.62,50.78,802.5916,49.56,847.7464,52.51,802.1699,3 
44,0.000564935373263011,53.8,968.62,50.78,802.5916,49.55,848.3075,52.52,802.7296,3 
45,7.26784506976567E-05,53.79,967.8259,50.79,802.4259,49.55,848.3075,52.52,802.7296,1 
46,9.95640617611581E-05,53.79,967.8259,50.79,802.4259,49.54,847.6284,52.53,802.569099999999,3 
47,5.35680322140999E-05,53.78,967.571600000001,50.8,802.9,49.54,847.6284,52.53,802.569099999999,1 
48,1.51337222745096E-05,53.78,967.571600000001,50.8,802.9,49.53,847.3291,52.54,802.2084,3 
49,7.00537163542819E-05,53.77,967.0771,50.81,803.7939,49.53,847.3291,52.54,802.2084,1 
50,0.000139940796941565,53.77,967.0771,50.81,803.7939,49.52,846.4896,52.55,801.9475,3 
51,0.000790558647632719,53.78,966.911600000001,50.8,804.24,49.52,846.4896,52.55,801.9475,2 
52,3.33898134625666E-06,53.78,966.911600000001,50.8,804.24,49.51,845.7099,52.56,802.4864,3 
53,6.42507953073207E-05,53.77,966.1771,50.81,804.2739,49.51,845.7099,52.56,802.4864,1 
54,0.00115058244154156,53.76,966.8824,50.82,804.5876,49.51,845.7099,52.56,802.4864,1 
55,0.000335105699766987,53.75,966.7475,50.83,804.9011,49.51,845.7099,52.56,802.4864,1 
56,0.000845310487938458,53.74,965.9924,50.84,805.3344,49.51,845.7099,52.56,802.4864,1 
57,0.000838721911504891,53.73,965.3371,50.85,805.2075,49.51,845.7099,52.56,802.4864,1 
58,8.40193684579389E-05,53.73,965.3371,50.85,805.2075,49.5,845.29,52.57,803.1651,3 
59,1.75154111345541E-05,53.72,965.4216,50.86,805.9804,49.5,845.29,52.57,803.1651,1 
60,0.000266918710587159,53.72,965.4216,50.86,805.9804,49.49,844.8499,52.58,804.0636,3 
61,4.87478177342152E-05,53.71,964.8259,50.87,805.9931,49.49,844.8499,52.58,804.0636,1 
62,0.00081909277516001,53.7,965.19,50.88,806.6856,49.49,844.8499,52.58,804.0636,1 
63,0.000354264230868172,53.69,964.4139,50.89,806.4579,49.49,844.8499,52.58,804.0636,1 
64,5.66936678676721E-05,53.69,964.4139,50.89,806.4579,49.48,844.9296,52.59,804.4819,3 
65,0.000657515590539346,53.69,964.4139,50.89,806.4579,49.47,844.9091,52.6,804,3 
66,3.89412615495148E-05,53.68,964.2976,50.9,807.01,49.47,844.9091,52.6,804,1 
67,6.34297007760464E-05,53.67,963.7611,50.91,807.7619,49.47,844.9091,52.6,804,1 
68,0.000421490072277577,53.68,963.8176,50.9,808.07,49.47,844.9091,52.6,804,2 
69,0.000407692484158279,53.67,963.0211,50.91,808.9019,49.47,844.9091,52.6,804,1 
70,0.000248427358122287,53.66,962.5044,50.92,808.3336,49.47,844.9091,52.6,804,1 
71,0.00034383149732391,53.66,962.5044,50.92,808.3336,49.46,845.5684,52.61,804.7579,3 
72,0.000381500018617274,53.66,962.5044,50.92,808.3336,49.45,845.2075,52.62,804.7356,3 
73,3.80547746939161E-05,53.65,962.727500000001,50.93,808.0651,49.45,845.2075,52.62,804.7356,1 
74,6.59499930899314E-05,53.64,961.9504,50.94,807.9364,49.45,845.2075,52.62,804.7356,1 
75,0.00419994498660614,53.63,962.9931,50.95,808.6475,49.45,845.2075,52.62,804.7356,1 
76,7.22011711228915E-05,53.63,962.9931,50.95,808.6475,49.44,845.0664,52.63,804.8531,3 
77,5.76663869790676E-05,53.62,962.9356,50.96,808.7984,49.44,845.0664,52.63,804.8531,1 
78,7.92577176626508E-05,53.62,962.9356,50.96,808.7984,49.43,844.2251,52.64,805.690400000001,3 
79,0.000112665033191053,53.61,962.8779,50.97,808.7691,49.43,844.2251,52.64,805.690400000001,1 
80,0.000181355509093097,53.61,962.8779,50.97,808.7691,49.42,843.3636,52.65,805.7075,3 
81,0.000102377628111086,53.6,963.54,50.98,809.3396,49.42,843.3636,52.65,805.7075,1 
82,0.00119137040120568,53.6,963.54,50.98,809.3396,49.41,843.9019,52.66,805.6844,3 
83,0.000409320687548665,53.6,963.54,50.98,809.3396,49.4,844.1,52.67,806.5211,3 
84,5.14243923773082E-05,53.6,963.54,50.98,809.3396,49.39,844.1379,52.68,806.3576,3 
85,0.00081963221522897,53.59,963.8219,50.99,809.5099,49.39,844.1379,52.68,806.3576,1 
86,0.000513817302271157,53.58,963.3036,51,809.34,49.39,844.1379,52.68,806.3576,1 
87,0.000167475171693725,53.57,963.5051,51.01,809.4499,49.39,844.1379,52.68,806.3576,1 
88,0.000154108284988777,53.56,963.7064,51.02,809.9196,49.39,844.1379,52.68,806.3576,1 
89,4.52971373595741E-05,53.56,963.7064,51.02,809.9196,49.38,844.5956,52.69,806.813900000001,3 
90,4.21797826357991E-05,53.56,963.7064,51.02,809.9196,49.37,844.1331,52.7,806.91,3 
91,4.55627882500756E-07,53.56,963.7064,51.02,809.9196,49.38,844.5556,52.69,806.2139,4 
92,3.05847811674511E-05,53.55,963.4875,51.03,810.8691,49.38,844.5556,52.69,806.2139,1 
93,0.004874659573908,53.55,963.4875,51.03,810.8691,49.37,845.0931,52.7,805.25,3 
94,0.000197388012152427,53.55,963.4875,51.03,810.8691,49.36,844.6304,52.71,805.765899999999,3 
95,5.28794262319656E-05,53.55,963.4875,51.03,810.8691,49.35,844.127500000001,52.72,805.3216,3 
96,0.00024101720053204,53.54,963.0684,51.04,811.3984,49.35,844.127500000001,52.72,805.3216,1 
97,0.000114338169634042,53.53,962.9891,51.05,812.3075,49.35,844.127500000001,52.72,805.3216,1 
98,1.29246189446389E-06,53.52,962.2496,51.06,812.7364,49.35,844.127500000001,52.72,805.3216,1 
99,2.48731688708695E-06,53.51,961.6099,51.07,813.2451,49.35,844.127500000001,52.72,805.3216,1 
100,1.97052155296351E-05,53.5,961.25,51.08,813.6536,49.35,844.127500000001,52.72,805.3216,1 
101,6.72583325944659E-06,53.49,961.6099,51.09,814.5819,49.35,844.127500000001,52.72,805.3216,1 
102,0.00012635571852923,53.48,960.8896,51.1,815.03,49.35,844.127500000001,52.72,805.3216,1 
103,8.03803895957641E-06,53.48,960.8896,51.1,815.03,49.34,844.7644,52.73,805.9171,3 
104,5.21166155259689E-06,53.47,960.5291,51.11,815.4179,49.34,844.7644,52.73,805.9171,1 
105,0.000123948366327645,53.48,961.1696,51.1,815.11,49.34,844.7644,52.73,805.9171,2 
106,6.17863354860319E-06,53.48,961.1696,51.1,815.11,49.33,844.3411,52.74,806.6124,3 
107,0.000151458895777069,53.48,961.1696,51.1,815.11,49.32,843.5776,52.75,807.1675,3 
108,3.51086089453635E-05,53.47,960.5491,51.11,815.6379,49.32,843.5776,52.75,807.1675,1 
109,0.000234433034823232,53.47,960.5491,51.11,815.6379,49.31,843.1739,52.76,807.8824,3 
110,0.000287832337398317,53.47,960.5491,51.11,815.6379,49.3,842.889999999999,52.77,807.5371,3 
111,0.000273911740154068,53.46,960.6484,51.12,816.4256,49.3,842.889999999999,52.77,807.5371,1 
112,6.87742509311089E-05,53.45,960.3075,51.13,816.8531,49.3,842.889999999999,52.77,807.5371,1 
113,0.000152476162882752,53.44,959.4864,51.14,817.3404,49.3,842.889999999999,52.77,807.5371,1 
114,4.94955067922676E-05,53.44,959.4864,51.14,817.3404,49.29,842.2059,52.78,807.7916,3 
115,8.47981768616995E-05,53.43,959.285100000001,51.15,818.3075,49.29,842.2059,52.78,807.7916,1 
116,0.000201509947544095,53.43,959.285100000001,51.15,818.3075,49.28,842.2016,52.79,808.3659,3 
117,2.76269256738798E-05,53.42,959.1836,51.16,818.8744,49.28,842.2016,52.79,808.3659,1 
118,0.00021144854674039,53.42,959.1836,51.16,818.8744,49.27,841.5171,52.8,808.379999999999,3 
119,4.61554515760521E-05,53.42,959.1836,51.16,818.8744,49.26,840.9924,52.81,809.1339,3 
120,0.000176924404955102,53.42,959.1836,51.16,818.8744,49.25,840.5475,52.82,809.2476,3 
121,0.000227746194720786,53.41,958.5419,51.17,819.0811,49.25,840.5475,52.82,809.2476,1 
122,0.000259269261979398,53.4,957.780000000001,51.18,819.1876,49.25,840.5475,52.82,809.2476,1 
123,7.99147333123623E-05,53.4,957.780000000001,51.18,819.1876,49.24,841.2024,52.83,809.8611,3 
124,9.26540238652854E-05,53.4,957.780000000001,51.18,819.1876,49.23,840.3771,52.84,810.6144,3 
125,3.41964948241211E-05,53.39,956.8779,51.19,820.1539,49.23,840.3771,52.84,810.6144,1 
126,0.00031605743294307,53.39,956.8779,51.19,820.1539,49.22,840.4316,52.85,810.4675,3 
127,1.82017053201495E-05,53.38,957.5756,51.2,820.12,49.22,840.4316,52.85,810.4675,1 
128,8.03159676713507E-05,53.37,957.3331,51.21,820.6059,49.22,840.4316,52.85,810.4675,1 
129,1.92181899513923E-05,53.36,956.5304,51.22,820.5316,49.22,840.4316,52.85,810.4675,1 
130,3.27707447830577E-05,53.35,957.2275,51.23,821.4971,49.22,840.4316,52.85,810.4675,1 
131,0.00239894166492727,53.34,958.1444,51.24,822.3824,49.22,840.4316,52.85,810.4675,1 
132,3.32195723211386E-05,53.34,958.1444,51.24,822.3824,49.21,839.5059,52.86,810.520399999999,3 
133,0.000149836991269011,53.33,958.1011,51.25,822.5475,49.21,839.5059,52.86,810.520399999999,1 
134,8.13034245879057E-05,53.34,958.6444,51.24,821.802399999999,49.21,839.5059,52.86,810.520399999999,2 
135,0.000120775399647363,53.33,957.9211,51.25,821.8475,49.21,839.5059,52.86,810.520399999999,1 
136,0.000289544782918009,53.32,957.1576,51.26,821.7324,49.21,839.5059,52.86,810.520399999999,1 
137,0.000190344868842501,53.31,956.3539,51.27,821.8571,49.21,839.5059,52.86,810.520399999999,1 
138,0.000272290660689691,53.3,956.27,51.28,822.4416,49.21,839.5059,52.86,810.520399999999,1 
139,8.14900373491965E-05,53.29,955.7859,51.29,823.3459,49.21,839.5059,52.86,810.520399999999,1 
140,0.000737708862621714,53.29,955.7859,51.29,823.3459,49.2,839.02,52.87,810.0931,3 
141,1.35057571755428E-05,53.29,955.7859,51.29,823.3459,49.19,838.8939,52.88,810.225600000001,3 
142,4.24982289381705E-05,53.28,955.001600000001,51.3,823.19,49.19,838.8939,52.88,810.225600000001,1 
143,0.000152295251057664,53.28,955.001600000001,51.3,823.19,49.18,838.5276,52.89,810.4779,3 
144,0.000261783148856241,53.27,954.2171,51.31,823.1339,49.18,838.5276,52.89,810.4779,1 
145,7.99758549961271E-05,53.27,954.2171,51.31,823.1339,49.17,837.7011,52.9,811.330000000001,3 
146,0.000116123074358961,53.27,954.2171,51.31,823.1339,49.16,837.0344,52.91,811.6019,3 
147,0.000256958032301528,53.26,954.9924,51.32,823.4576,49.16,837.0344,52.91,811.6019,1 
148,6.64869946985179E-05,53.26,954.9924,51.32,823.4576,49.15,836.427500000001,52.92,812.3736,3 
149,2.26960730951402E-05,53.26,954.9924,51.32,823.4576,49.14,836.0204,52.93,813.0651,3 
150,4.5155966506901E-05,53.26,954.9924,51.32,823.4576,49.13,835.0731,52.94,812.8764,3 
151,0.000133333775685288,53.25,954.9675,51.33,824.1411,49.13,835.0731,52.94,812.8764,1 
152,0.000155236797028088,53.25,954.9675,51.33,824.1411,49.12,834.5656,52.95,813.6475,3 
153,0.000146535503881795,53.25,954.9675,51.33,824.1411,49.11,834.1179,52.96,813.5184,3 
154,5.75665690398277E-05,53.25,954.9675,51.33,824.1411,49.1,834.21,52.97,813.9491,3 
155,7.41402242574018E-05,53.25,954.9675,51.33,824.1411,49.09,833.3019,52.98,814.0196,3 
156,6.61189369856234E-05,53.25,954.9675,51.33,824.1411,49.08,832.4336,52.99,813.7499,3 
157,3.19177659223844E-05,53.24,954.1624,51.34,823.6844,49.08,832.4336,52.99,813.7499,1 
158,7.33662228684892E-05,53.23,953.3371,51.35,823.2075,49.08,832.4336,52.99,813.7499,1 
159,0.000332184136081097,53.23,953.3371,51.35,823.2075,49.07,831.7051,53,813.1,3 
160,9.88431530515885E-06,53.23,953.3371,51.35,823.2075,49.06,831.3164,53.01,813.8099,3 
161,1.09600935739428E-07,53.23,953.3371,51.35,823.2075,49.05,831.6275,53.02,814.0196,3 
162,0.000165903661315675,53.22,953.7916,51.36,822.6704,49.05,831.6275,53.02,814.0196,1 
163,1.85262040353859E-05,53.22,953.7916,51.36,822.6704,49.04,830.6384,53.03,814.2091,3 
164,0.000295573878168858,53.22,953.7916,51.36,822.6704,49.03,830.5491,53.04,814.2584,3 
165,0.00015127794952674,53.21,953.7259,51.37,823.5931,49.03,830.5491,53.04,814.2584,1 
166,0.000134941060587475,53.2,952.959999999999,51.38,823.4556,49.03,830.5491,53.04,814.2584,1 
167,0.000299297335892345,53.2,952.959999999999,51.38,823.4556,49.04,831.1984,53.03,814.5491,4 
168,5.83674580572729E-05,53.2,952.959999999999,51.38,823.4556,49.03,830.8291,53.04,815.2784,3 
169,0.000103396710385441,53.19,952.3539,51.39,823.997900000001,49.03,830.8291,53.04,815.2784,1 
170,0.000232450475455815,53.18,951.7076,51.4,824.3,49.03,830.8291,53.04,815.2784,1 
171,0.000564485082299851,53.17,951.0011,51.41,824.7619,49.03,830.8291,53.04,815.2784,1 
172,0.00014787933329621,53.16,950.2144,51.42,824.3236,49.03,830.8291,53.04,815.2784,1 
173,2.48693158403215E-05,53.16,950.2144,51.42,824.3236,49.02,829.8996,53.05,815.1075,3 
174,5.33262764481618E-05,53.15,950.167500000001,51.43,824.3051,49.02,829.8996,53.05,815.1075,1 
175,0.00013950399672236,53.15,950.167500000001,51.43,824.3051,49.01,830.2899,53.06,815.7164,3 
176,0.000185948825245389,53.15,950.167500000001,51.43,824.3051,49,829.46,53.07,815.4651,3 
177,1.67492206951441E-05,53.15,950.167500000001,51.43,824.3051,48.99,828.6499,53.08,816.2336,3 
178,0.000162899525892463,53.15,950.167500000001,51.43,824.3051,48.98,827.9196,53.09,816.8219,3 
179,3.55021126140908E-05,53.14,950.6604,51.44,825.0864,48.98,827.9196,53.09,816.8219,1 
180,0.000212327855043343,53.13,950.113099999999,51.45,825.827499999999,48.98,827.9196,53.09,816.8219,1 
181,3.38307085824598E-05,53.12,950.8256,51.46,826.8084,48.98,827.9196,53.09,816.8219,1 
182,0.000122889828417068,53.12,950.8256,51.46,826.8084,48.97,827.3291,53.1,817.610000000001,3 
183,3.7930244444893E-05,53.11,950.3579,51.47,827.7291,48.97,827.3291,53.1,817.610000000001,1 
184,6.84682177694241E-05,53.1,949.47,51.48,828.7096,48.97,827.3291,53.1,817.610000000001,1 
185,0.000132575214366729,53.09,949.6819,51.49,829.1899,48.97,827.3291,53.1,817.610000000001,1 
186,8.28712227047177E-05,53.09,949.6819,51.49,829.1899,48.96,826.4784,53.11,817.3579,3 
187,5.6729769894235E-05,53.09,949.6819,51.49,829.1899,48.95,825.6875,53.12,818.145599999999,3 
188,7.52876686491736E-05,53.08,950.0136,51.5,829.57,48.95,825.6875,53.12,818.145599999999,1 
189,9.03769524228234E-06,53.07,949.6251,51.51,829.8899,48.95,825.6875,53.12,818.145599999999,1 
190,7.75493853375887E-05,53.07,949.6251,51.51,829.8899,48.94,824.8764,53.13,819.0131,3 
191,9.63860318945084E-05,53.07,949.6251,51.51,829.8899,48.93,824.7051,53.14,819.880400000001,3 
192,3.33594132760619E-05,53.07,949.6251,51.51,829.8899,48.92,823.9536,53.15,820.4475,3 
193,8.77577156434981E-06,53.07,949.6251,51.51,829.8899,48.91,823.0619,53.16,820.5344,3 
194,0.000146223214785944,53.06,949.8364,51.52,830.0096,48.91,823.0619,53.16,820.5344,1 
195,0.000453384660389083,53.05,949.4675,51.53,830.3491,48.91,823.0619,53.16,820.5344,1 
196,0.000196292901148,53.05,949.4675,51.53,830.3491,48.9,822.39,53.17,820.3811,3 
197,7.72330609286582E-06,53.05,949.4675,51.53,830.3491,48.89,821.5179,53.18,820.4876,3 
198,0.000176829485523379,53.04,948.6584,51.54,830.8484,48.89,821.5179,53.18,820.4876,1 
199,1.94366501885648E-05,53.04,948.6584,51.54,830.8484,48.88,821.1656,53.19,821.2339,3 
200,0.00113970065527901,53.03,948.2491,51.55,830.667499999999,48.88,821.1656,53.19,821.2339,1 
201,0.000189617245829913,53.03,948.2491,51.55,830.667499999999,48.87,821.3531,53.2,821.36,3 
202,0.000663095103854601,53.03,948.2491,51.55,830.667499999999,48.86,821.4604,53.21,821.8059,3 
203,0.000222263276300816,53.02,948.0796,51.56,830.8264,48.86,821.4604,53.21,821.8059,1 
204,5.43912786512931E-05,53.02,948.0796,51.56,830.8264,48.85,820.6075,53.22,821.9316,3 
205,7.46790530677644E-05,53.01,948.0499,51.57,830.8251,48.85,820.6075,53.22,821.9316,1 
206,2.97839477252829E-05,53.01,948.0499,51.57,830.8251,48.84,820.1144,53.23,822.4771,3 
207,5.91156316271529E-05,53.01,948.0499,51.57,830.8251,48.85,819.6475,53.22,822.8516,4 
208,3.26905700436182E-05,53.01,948.0499,51.57,830.8251,48.84,818.9144,53.23,823.4371,3 
209,0.000107461801305783,53,948.52,51.58,831.5236,48.84,818.9144,53.23,823.4371,1 
210,0.000379963519407173,53,948.52,51.58,831.5236,48.83,818.2611,53.24,823.7224,3 
211,3.77863149360484E-06,53,948.52,51.58,831.5236,48.82,817.8076,53.25,824.2475,3 
212,5.59726319081531E-05,53,948.52,51.58,831.5236,48.81,817.0339,53.26,824.9124,3 
213,3.40873765976629E-05,53,948.52,51.58,831.5236,48.8,816.6,53.27,825.4571,3 
214,0.000418584199480579,52.99,948.4899,51.59,831.7019,48.8,816.6,53.27,825.4571,1 
215,0.000232818865569541,52.98,947.7796,51.6,831.76,48.8,816.6,53.27,825.4571,1 
216,3.5778020829857E-05,52.98,947.7796,51.6,831.76,48.79,815.8259,53.28,826.2616,3 
217,1.46079607229887E-05,52.97,947.7691,51.61,832.4579,48.79,815.8259,53.28,826.2616,1 
218,9.48135079328156E-05,52.96,946.8784,51.62,832.1956,48.79,815.8259,53.28,826.2616,1 
219,1.90000597781005E-05,52.95,946.0075,51.63,833.1931,48.79,815.8259,53.28,826.2616,1 
220,3.11697459473737E-05,52.94,945.6564,51.64,833.5904,48.79,815.8259,53.28,826.2616,1 
221,3.42049719945777E-06,52.94,945.6564,51.64,833.5904,48.78,815.4716,53.29,826.5259,3 
222,0.000151704930130191,52.94,945.6564,51.64,833.5904,48.77,816.1371,53.3,827.15,3 
223,6.24107033301499E-05,52.93,944.8651,51.65,833.1075,48.77,816.1371,53.3,827.15,1 
224,6.66431803548019E-06,52.92,944.8736,51.66,833.8244,48.77,816.1371,53.3,827.15,1 
225,6.50189274964085E-05,52.92,944.8736,51.66,833.8244,48.76,816.4424,53.31,826.6339,3 
226,0.000120284413860326,52.91,944.5419,51.67,834.2611,48.76,816.4424,53.31,826.6339,1 
227,5.6437732403608E-05,52.91,944.5419,51.67,834.2611,48.75,816.0275,53.32,827.1976,3 
228,0.000269578274152357,52.91,944.5419,51.67,834.2611,48.74,815.1924,53.33,827.3411,3 
229,6.9210045255706E-05,52.91,944.5419,51.67,834.2611,48.73,814.3971,53.34,828.2244,3 
230,0.000478278286856651,52.91,944.5419,51.67,834.2611,48.72,814.4016,53.35,828.8075,3 
231,0.000155759646666916,52.91,944.5419,51.67,834.2611,48.71,813.5659,53.36,828.5704,3 
232,3.94356383693442E-05,52.9,944.57,51.68,834.9976,48.71,813.5659,53.36,828.5704,1 
233,0.000133366569817059,52.91,945.0019,51.67,834.4811,48.71,813.5659,53.36,828.5704,2 
234,1.37834986045073E-05,52.9,944.15,51.68,835.4976,48.71,813.5659,53.36,828.5704,1 
235,3.05912901927483E-05,52.9,944.15,51.68,835.4976,48.7,813.07,53.37,829.3531,3 
236,2.22794531436241E-05,52.9,944.15,51.68,835.4976,48.69,812.6739,53.38,830.0756,3 
237,0.000745370946734295,52.89,943.6379,51.69,834.933899999999,48.69,812.6739,53.38,830.0756,1 
238,0.0003091630754923,52.89,943.6379,51.69,834.933899999999,48.68,813.1376,53.39,829.6979,3 
239,2.41591386077785E-05,52.88,942.8856,51.7,834.81,48.68,813.1376,53.39,829.6979,1 
240,2.00723522490919E-05,52.87,942.2931,51.71,834.8259,48.68,813.1376,53.39,829.6979,1 
241,0.000273137862921583,52.86,941.7004,51.72,834.5216,48.68,813.1376,53.39,829.6979,1 
242,2.51151483696945E-05,52.86,941.7004,51.72,834.5216,48.69,813.9139,53.38,829.0356,4 
243,6.95356486148763E-05,52.86,941.7004,51.72,834.5216,48.7,814.85,53.37,829.2131,4 
244,1.19403027744043E-05,52.85,940.9275,51.73,834.4771,48.7,814.85,53.37,829.2131,1 
245,0.000102618818379407,52.84,940.1344,51.74,834.6124,48.7,814.85,53.37,829.2131,1 
246,2.51931311459385E-05,52.84,940.1344,51.74,834.6124,48.69,814.1339,53.38,829.8156,3 
247,1.50551635348365E-05,52.84,940.1344,51.74,834.6124,48.68,813.1576,53.39,830.0179,3 
248,4.09093570369383E-05,52.83,940.0811,51.75,835.5475,48.68,813.1576,53.39,830.0179,1 
249,9.40695506989218E-05,52.82,941.0676,51.76,835.4224,48.68,813.1576,53.39,830.0179,1 
250,7.73249392874649E-05,52.82,941.0676,51.76,835.4224,48.67,813.0011,53.4,830.900000000001,3 
251,9.56576399529082E-05,52.81,941.4339,51.77,836.3571,48.67,813.0011,53.4,830.900000000001,1 
252,0.000134028193597643,52.8,940.799999999999,51.78,836.5716,48.67,813.0011,53.4,830.900000000001,1 
253,9.06530437971322E-05,52.8,940.799999999999,51.78,836.5716,48.66,812.2444,53.41,831.7219,3 
254,0.000222635849470251,52.8,940.799999999999,51.78,836.5716,48.65,811.6675,53.42,832.5236,3 
255,0.00113135353928987,52.8,940.799999999999,51.78,836.5716,48.64,811.990399999999,53.43,832.7451,3 
256,0.000321007599243448,52.79,940.5659,51.79,837.0659,48.64,811.990399999999,53.43,832.7451,1 
257,0.000126280068948246,52.79,940.5659,51.79,837.0659,48.63,811.5131,53.44,833.546399999999,3 
258,0.000178649618246962,52.79,940.5659,51.79,837.0659,48.62,810.555600000001,53.45,833.7675,3 
259,2.62363594174048E-05,52.78,939.8316,51.8,836.96,48.62,810.555600000001,53.45,833.7675,1 
260,0.000565642586870352,52.77,939.0571,51.81,836.5339,48.62,810.555600000001,53.45,833.7675,1 
261,0.000394560292493327,52.77,939.0571,51.81,836.5339,48.61,809.7779,53.46,834.4284,3 
262,8.99186296721229E-05,52.76,939.1024,51.82,837.2876,48.61,809.7779,53.46,834.4284,1 
263,0.000158315587601605,52.76,939.1024,51.82,837.2876,48.6,809.08,53.47,835.0491,3 
264,0.000322482560124377,52.76,939.1024,51.82,837.2876,48.59,809.3819,53.48,835.5496,3 
265,0.000128042633076382,52.76,939.1024,51.82,837.2876,48.58,809.4836,53.49,835.3499,3 
266,0.000270050865619254,52.75,939.2075,51.83,838.0811,48.58,809.4836,53.49,835.3499,1 
267,0.000223873265245592,52.75,939.2075,51.83,838.0811,48.57,809.0851,53.5,835.93,3 
268,5.20862146511155E-06,52.74,938.7724,51.84,838.5344,48.57,809.0851,53.5,835.93,1 
269,0.000148155494662448,52.74,938.7724,51.84,838.5344,48.56,808.7464,53.51,836.2099,3 
270,0.000402222838965452,52.74,938.7724,51.84,838.5344,48.55,809.3275,53.52,837.1296,3 
